,Job Title,Location,Industry,Sector,salary_average,City,State,Lat,Lng
162,data scientist,"Madison, WI",Healthcare Services & Hospitals,Healthcare,111000,Madison,WI,43.0730517,-89.4012302
163,data scientist,"Madison, WI",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000,Madison,WI,43.0730517,-89.4012302
164,data scientist,"Indianapolis, IN",Architectural & Engineering Services,Business Services,111000,Indianapolis,IN,39.768403,-86.158068
165,data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,111000,Memphis,TN,35.1495343,-90.0489801
166,data scientist,"Tulsa, OK",Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",111000,Tulsa,OK,36.1539816,-95.99277500000001
167,data scientist,"Aliso Viejo, CA",Video Games,Media,111000,Aliso Viejo,CA,33.5684605,-117.7262981
168,data scientist,"Des Moines, IA",Insurance Operators,Insurance,111000,Des Moines,IA,41.5868353,-93.6249593
169,data scientist,"Bloomington, MN",IT Services,Information Technology,111000,Bloomington,MN,44.840798,-93.2982799
170,data scientist,"Alexandria, VA",IT Services,Information Technology,111000,Alexandria,VA,38.8048355,-77.0469214
171,data scientist,"San Francisco, CA",Consumer Product Hire,Consumer Services,111000,San Francisco,CA,37.7749295,-122.4194155
172,data scientist,"New Haven, CT",Architectural & Engineering Services,Business Services,111000,New Haven,CT,41.308274,-72.9278835
173,data scientist,"San Bruno, CA",Staffing & Outsourcing,Business Services,111000,San Bruno,CA,37.6304904,-122.4110835
174,data scientist,"Reston, VA",IT Services,Information Technology,111000,Reston,VA,38.9586307,-77.35700279999999
175,data scientist,"San Francisco, CA",Express Delivery Services,Transportation & Logistics,111000,San Francisco,CA,37.7749295,-122.4194155
176,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,111000,Cambridge,MA,42.3736158,-71.10973349999999
177,data scientist,"Baltimore, MD",Enterprise Software & Network Solutions,Information Technology,111000,Baltimore,MD,39.2903848,-76.6121893
178,data scientist,"Boston, MA",Insurance Operators,Insurance,111000,Boston,MA,42.3600825,-71.0588801
179,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500,Cambridge,MA,42.3736158,-71.10973349999999
180,data scientist,"Waltham, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500,Waltham,MA,42.3764852,-71.2356113
181,data scientist,"Blue Bell, PA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500,Blue Bell,PA,40.1523309,-75.26628900000001
182,data scientist,"Chicago, IL",Enterprise Software & Network Solutions,Information Technology,75500,Chicago,IL,41.8781136,-87.6297982
183,data scientist,"Reston, VA",IT Services,Information Technology,75500,Reston,VA,38.9586307,-77.35700279999999
184,data scientist,"Orchard Park, NY",Social Services,Non-Profits,75500,Orchard Park,NY,42.76755929999999,-78.7439189
185,data scientist,"Beavercreek, OH",Government Agencies,Government,75500,Beavercreek,OH,39.7092262,-84.06326849999999
186,data scientist,"Thousand Oaks, CA",Consulting,Business Services,75500,Thousand Oaks,CA,34.1705609,-118.8375937
187,data scientist,"Saint Louis, MO",Computer Hardware & Software,Information Technology,75500,Saint Louis,MO,38.6270025,-90.19940419999999
188,data scientist,"San Francisco, CA",Internet,Information Technology,75500,San Francisco,CA,37.7749295,-122.4194155
189,data scientist,"Thousand Oaks, CA",Staffing & Outsourcing,Business Services,75500,Thousand Oaks,CA,34.1705609,-118.8375937
190,data scientist,"Springfield, VA",IT Services,Information Technology,75500,Springfield,VA,38.7892801,-77.18720359999999
191,data scientist,"Newton, MA",Electrical & Electronic Manufacturing,Manufacturing,75500,Newton,MA,42.3370413,-71.20922139999999
192,data scientist,"Washington, DC",IT Services,Information Technology,75500,Washington,DC,38.9071923,-77.0368707
193,data scientist,"New York, NY",Healthcare Services & Hospitals,Healthcare,75500,New York,NY,40.7127753,-74.0059728
194,data scientist,"Fremont, CA",IT Services,Information Technology,75500,Fremont,CA,37.5485396,-121.988583
195,data scientist,"Columbia, MO",Insurance Operators,Insurance,75500,Columbia,MO,38.9517053,-92.3340724
196,data scientist,"Cambridge, MA",Computer Hardware & Software,Information Technology,75500,Cambridge,MA,42.3736158,-71.10973349999999
197,data scientist,"Bellevue, WA",Computer Hardware & Software,Information Technology,75500,Bellevue,WA,47.6101497,-122.2015159
198,data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,75500,Memphis,TN,35.1495343,-90.0489801
199,data scientist,"Santa Barbara, CA",Internet,Information Technology,75500,Santa Barbara,CA,34.4208305,-119.6981901
200,data scientist,"Tulsa, OK",Oil & Gas Services,"Oil, Gas, Energy & Utilities",75500,Tulsa,OK,36.1539816,-95.99277500000001
201,data scientist,"Campbell, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,75500,Campbell,CA,37.2871651,-121.9499568
202,data scientist,"Burlingame, CA",Video Games,Media,130000,Burlingame,CA,37.5778696,-122.34809
203,data scientist,"San Bruno, CA",-1,-1,130000,San Bruno,CA,37.6304904,-122.4110835
204,data scientist,"Winston-Salem, NC",Consumer Products Manufacturing,Manufacturing,130000,Winston-Salem,NC,36.09985959999999,-80.244216
205,data scientist,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000,South San Francisco,CA,37.654656,-122.4077498
206,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000,Cambridge,MA,42.3736158,-71.10973349999999
207,data scientist,"New York, NY",Enterprise Software & Network Solutions,Information Technology,130000,New York,NY,40.7127753,-74.0059728
208,data scientist,"Woodland Hills, CA",Computer Hardware & Software,Information Technology,130000,Woodland Hills,CA,34.165357,-118.6089752
209,data scientist,"Denver, CO",Insurance Operators,Insurance,130000,Denver,CO,39.7392358,-104.990251
210,data scientist,"Hoboken, NJ",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000,Hoboken,NJ,40.7439905,-74.0323626
211,data scientist,"Richmond, VA",Banks & Building Societies,Finance,130000,Richmond,VA,37.5407246,-77.4360481
212,data scientist,"Minneapolis, MN",Consulting,Business Services,130000,Minneapolis,MN,44.977753,-93.2650108
213,data scientist,"Cambridge, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000,Cambridge,MA,42.3736158,-71.10973349999999
214,data scientist,"Boston, MA",Consulting,Business Services,130000,Boston,MA,42.3600825,-71.0588801
215,data scientist,"Greenfield, IN",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,130000,Greenfield,IN,39.785043,-85.7694226
216,data scientist,"Quincy, MA",Insurance Operators,Insurance,130000,Quincy,MA,42.2528772,-71.0022705
217,data scientist,"Aurora, CO",Insurance Operators,Insurance,130000,Aurora,CO,39.7294319,-104.8319195
218,data scientist,"Foster City, CA",IT Services,Information Technology,130000,Foster City,CA,37.5585465,-122.2710788
219,data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,130000,Rancho Cucamonga,CA,34.10639889999999,-117.5931084
220,data scientist,"San Bruno, CA",Staffing & Outsourcing,Business Services,130000,San Bruno,CA,37.6304904,-122.4110835
221,data scientist,"Foster City, CA",Computer Hardware & Software,Information Technology,130000,Foster City,CA,37.5585465,-122.2710788
222,data scientist,"Northbrook, IL",Chemical Manufacturing,Manufacturing,130000,Northbrook,IL,42.1275267,-87.82895479999999
223,data scientist,"Rancho Cucamonga, CA",Healthcare Services & Hospitals,Healthcare,130000,Rancho Cucamonga,CA,34.10639889999999,-117.5931084
224,data scientist,"Patuxent, Anne Arundel, MD",IT Services,Information Technology,130000,Patuxent,Anne Arundel,39.0697422,-76.6974697
225,data scientist,"Huntsville, AL",Investment Banking & Asset Management,Finance,130000,Huntsville,AL,34.7303688,-86.5861037
226,data scientist,"San Francisco, CA",Computer Hardware & Software,Information Technology,130000,San Francisco,CA,37.7749295,-122.4194155
227,data scientist,"Tacoma, WA",Wholesale,Business Services,56500,Tacoma,WA,47.2528768,-122.4442906
228,data scientist,"Seattle, WA",Architectural & Engineering Services,Business Services,56500,Seattle,WA,47.6062095,-122.3320708
229,data scientist,"Norwood, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,56500,Norwood,MA,42.19439089999999,-71.19896949999999
230,data scientist,"Chicago, IL",Healthcare Services & Hospitals,Healthcare,56500,Chicago,IL,41.8781136,-87.6297982
231,data scientist,"Fort Belvoir, VA",Aerospace & Defence,Aerospace & Defence,56500,Fort Belvoir,VA,38.71887160000001,-77.15426839999999
