Job Title,Location,Industry,Sector,salary_average
data scientist,"San Francisco, CA",Internet,Information Technology,127500
data scientist,"New York, NY",-1,-1,127500
data scientist,"San Francisco, CA",-1,-1,127500
data scientist,"Birmingham, AL",Aerospace & Defence,Aerospace & Defence,127500
data scientist,"Bayonne, NJ",Staffing & Outsourcing,Business Services,127500
data scientist,"Brooklyn, NY",Staffing & Outsourcing,Business Services,127500
data scientist,"San Francisco, CA",Security Services,Business Services,127500
data scientist,"San Francisco, CA",Venture Capital & Private Equity,Finance,127500
data scientist,"Folsom, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,127500
data scientist,"Memphis, TN",Staffing & Outsourcing,Business Services,127500
data scientist,"Oakland, CA",IT Services,Information Technology,127500
data scientist,"Monterey, CA",Other Retail Shops,Retail,127500
data scientist,"Whittier, CA",Computer Hardware & Software,Information Technology,127500
data scientist,"New York, NY",Accounting,Accounting & Legal,127500
data scientist,"McLean, VA",Aerospace & Defence,Aerospace & Defence,127500
data scientist,"Tysons, VA",Enterprise Software & Network Solutions,Information Technology,127500
data scientist,"Dallas, TX",IT Services,Information Technology,127500
data scientist,"Boston, MA",IT Services,Information Technology,127500
data scientist,"Beavercreek, OH",Government Agencies,Government,127500
data scientist,"Somerville, MA",-1,-1,127500
data scientist,"Richmond, VA",Chemical Manufacturing,Manufacturing,94500
data scientist,"Providence, RI",Insurance Operators,Insurance,94500
data scientist,"Hartford, CT",IT Services,Information Technology,94500
data scientist,"San Jose, CA",Computer Hardware & Software,Information Technology,94500
data scientist,"Columbia, MD",Consulting,Business Services,94500
data scientist,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,94500
data scientist,"Raleigh, NC",Industrial Manufacturing,Manufacturing,94500
data scientist,"Boston, MA",Computer Hardware & Software,Information Technology,94500
data scientist,"San Francisco, CA",Healthcare Services & Hospitals,Healthcare,94500
data scientist,"New York, NY",Enterprise Software & Network Solutions,Information Technology,94500
data scientist,"Arlington, VA",Consulting,Business Services,94500
data scientist,"Denver, CO",Aerospace & Defence,Aerospace & Defence,94500
data scientist,"Sunnyvale, CA",Healthcare Services & Hospitals,Healthcare,94500
data scientist,"Memphis, TN",Healthcare Services & Hospitals,Healthcare,94500
data scientist,"Dallas, TX",IT Services,Information Technology,94500
data scientist,"Red Bank, NJ",Banks & Building Societies,Finance,94500
data scientist,"Annapolis Junction, MD",Computer Hardware & Software,Information Technology,94500
data scientist,"Menlo Park, CA",Consulting,Business Services,94500
data scientist,"Norman, OK",IT Services,Information Technology,94500
data scientist,"San Francisco, CA",Advertising & Marketing,Business Services,94500
data scientist,"San Francisco, CA",Financial Analytics & Research,Finance,94500
data scientist,"Richardson Springs, CA",-1,-1,94500
data scientist,"Merrifield, VA",Banks & Building Societies,Finance,94500
data scientist,"Washington, DC",Insurance Operators,Insurance,94500
data scientist,"Allen, TX",Enterprise Software & Network Solutions,Information Technology,94500
data scientist,"Springfield, VA",IT Services,Information Technology,94500
data scientist,"Chantilly, VA",IT Services,Information Technology,96500
data scientist,"Rockville, MD",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,96500
data scientist,"Florence, KY",Electrical & Electronic Manufacturing,Manufacturing,96500
data scientist,"Broomfield, CO","Cable, Internet & Telephone Providers",Telecommunications,96500
data scientist,"Des Moines, IA",Banks & Building Societies,Finance,96500
data scientist,"Foster City, CA",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"Santa Clara, CA",-1,-1,96500
data scientist,"Salt Lake City, UT",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"San Francisco, CA",-1,-1,96500
data scientist,"Buckhead, GA",-1,-1,96500
data scientist,"Bellevue, WA",Investment Banking & Asset Management,Finance,96500
data scientist,"Fort Lauderdale, FL",Enterprise Software & Network Solutions,Information Technology,96500
data scientist,"Rockville, MD",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,96500
