,job_title,salary_offered,category,job_board,city,state,C#,R,Agile,AWS,Azure,DATA STUDIO,Degree,GOLang,Hadoop,Hive,INSIGHT,JAVA,KAFKA,MATLAB,MATPLOTLIB,NOSQL,PANDAS,PERL,PIG,POSTGRESQL,POWERBI,PYTHON,QLIKVIEW,R CLOUD,SCALA,SPARK,SQL,SCIKITLEARN,TABLEAU,UNIX
99,data scientist,,,dice,Atlanta,GA,0.0,1,0,0,0,0.0,0,0,1,1,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
100,data scientist,,,dice,Chicago,IL,0.0,1,0,1,1,0.0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0
101,data scientist,,Computer/Internet,indeed,Atlanta,GA,0.0,1,0,0,0,0.0,1,0,1,1,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
102,data scientist,,,dice,Des Plaines,IL,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,data scientist,,Computer/Internet,indeed,Seattle,WA,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
104,data scientist,,Computer/Internet,indeed,San Francisco,CA,0.0,1,0,1,0,0.0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
105,data scientist,,Computer/Internet,indeed,King of Prussia,PA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,data scientist,,Computer/Internet,indeed,Hershey,PA,0.0,1,0,1,0,0.0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
107,data scientist,,Computer/Internet,indeed,California,,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
108,data scientist,,Computer/Internet,indeed,San Antonio,TX,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
109,data scientist,,arts design and media,careerbuilder,Denton,TX,1.0,1,0,1,1,0.0,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
110,data scientist,,Arts/Entertainment/Publishing,indeed,Los Angeles,CA,0.0,1,0,0,0,0.0,1,0,1,1,,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
111,data scientist,,,dice,Washington,DC,0.0,1,0,0,0,0.0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
112,data scientist,,,dice,Dallas,TX,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
113,data scientist,,,dice,Boston,MA,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0
114,data scientist,,,dice,Seattle,WA,1.0,1,0,1,1,0.0,1,0,0,0,,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0
115,data scientist,,,dice,Redmond,WA,0.0,1,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
116,data scientist,,business and financial operations,careerbuilder,Atlanta,GA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
117,data scientist,,business and financial operations,careerbuilder,Dallas,TX,0.0,1,0,1,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
118,data scientist,,,dice,Costa Mesa,CA,0.0,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
